A002,R051,02-00-00,05-21-11,00:00:00,REGULAR,003169391,001097585
A002,R051,02-00-00,05-21-11,04:00:00,REGULAR,003169415,001097588
A002,R051,02-00-00,05-21-11,08:00:00,REGULAR,003169431,001097607
A002,R051,02-00-00,05-21-11,12:00:00,REGULAR,003169506,001097686
A002,R051,02-00-00,05-21-11,16:00:00,REGULAR,003169693,001097734
A002,R051,02-00-00,05-21-11,20:00:00,REGULAR,003169998,001097769
A002,R051,02-00-00,05-22-11,00:00:00,REGULAR,003170119,001097792
A002,R051,02-00-00,05-22-11,04:00:00,REGULAR,003170146,001097801              
A002,R051,02-00-00,05-22-11,08:00:00,REGULAR,003170164,001097820
A002,R051,02-00-00,05-22-11,12:00:00,REGULAR,003170240,001097867
A002,R051,02-00-00,05-22-11,16:00:00,REGULAR,003170388,001097912
A002,R051,02-00-00,05-22-11,20:00:00,REGULAR,003170611,001097941
A002,R051,02-00-00,05-23-11,00:00:00,REGULAR,003170695,001097964
A002,R051,02-00-00,05-23-11,04:00:00,REGULAR,003170701,001097964
A002,R051,02-00-00,05-23-11,08:00:00,REGULAR,003170746,001098069
A002,R051,02-00-00,05-23-11,12:00:00,REGULAR,003170897,001098378              
A002,R051,02-00-00,05-23-11,16:00:00,REGULAR,003171194,001098447
A002,R051,02-00-00,05-23-11,20:00:00,REGULAR,003172059,001098511
A002,R051,02-00-00,05-24-11,00:00:00,REGULAR,003172200,001098528
A002,R051,02-00-00,05-24-11,04:00:00,REGULAR,003172214,001098529
A002,R051,02-00-00,05-24-11,08:00:00,REGULAR,003172266,001098628
A002,R051,02-00-00,05-24-11,12:00:00,REGULAR,003172407,001098952
A002,R051,02-00-00,05-24-11,16:00:00,REGULAR,003172689,001099010
A002,R051,02-00-00,05-24-11,20:00:00,REGULAR,003173590,001099055              
A002,R051,02-00-00,05-25-11,00:00:00,REGULAR,003173803,001099079
A002,R051,02-00-00,05-25-11,04:00:00,REGULAR,003173826,001099081
A002,R051,02-00-00,05-25-11,08:00:00,REGULAR,003173873,001099178
A002,R051,02-00-00,05-25-11,12:00:00,REGULAR,003174022,001099496
A002,R051,02-00-00,05-25-11,16:00:00,REGULAR,003174309,001099572
A002,R051,02-00-00,05-25-11,20:00:00,REGULAR,003175172,001099651
A002,R051,02-00-00,05-26-11,00:00:00,REGULAR,003175360,001099675
A002,R051,02-00-00,05-26-11,04:00:00,REGULAR,003175373,001099675              
A002,R051,02-00-00,05-26-11,08:00:00,REGULAR,003175408,001099762
A002,R051,02-00-00,05-26-11,12:00:00,REGULAR,003175561,001100046
A002,R051,02-00-00,05-26-11,16:00:00,REGULAR,003175876,001100107
A002,R051,02-00-00,05-26-11,20:00:00,REGULAR,003176802,001100159
A002,R051,02-00-00,05-27-11,00:00:00,REGULAR,003176993,001100183
A002,R051,02-00-00,05-27-11,04:00:00,REGULAR,003177012,001100187
A002,R051,02-00-00,05-27-11,08:00:00,REGULAR,003177051,001100282
A002,R051,02-00-00,05-27-11,12:00:00,REGULAR,003177199,001100598              
A002,R051,02-00-00,05-27-11,16:00:00,REGULAR,003177629,001100666
A002,R051,02-00-00,05-27-11,20:00:00,REGULAR,003178345,001100716                                                                                                                                                                                                                                                                                                  
A002,R051,02-00-01,05-21-11,00:00:00,REGULAR,003116877,000664463
A002,R051,02-00-01,05-21-11,04:00:00,REGULAR,003116913,000664469
A002,R051,02-00-01,05-21-11,08:00:00,REGULAR,003116928,000664480
A002,R051,02-00-01,05-21-11,12:00:00,REGULAR,003116995,000664530
A002,R051,02-00-01,05-21-11,16:00:00,REGULAR,003117178,000664567
A002,R051,02-00-01,05-21-11,20:00:00,REGULAR,003117448,000664604
A002,R051,02-00-01,05-22-11,00:00:00,REGULAR,003117567,000664621
A002,R051,02-00-01,05-22-11,04:00:00,REGULAR,003117595,000664630              
A002,R051,02-00-01,05-22-11,08:00:00,REGULAR,003117609,000664636
A002,R051,02-00-01,05-22-11,12:00:00,REGULAR,003117677,000664673
A002,R051,02-00-01,05-22-11,16:00:00,REGULAR,003117818,000664710
A002,R051,02-00-01,05-22-11,20:00:00,REGULAR,003118019,000664732
A002,R051,02-00-01,05-23-11,00:00:00,REGULAR,003118086,000664742
A002,R051,02-00-01,05-23-11,04:00:00,REGULAR,003118093,000664744
A002,R051,02-00-01,05-23-11,08:00:00,REGULAR,003118130,000664783
A002,R051,02-00-01,05-23-11,12:00:00,REGULAR,003118283,000664925              
A002,R051,02-00-01,05-23-11,16:00:00,REGULAR,003118499,000664971
A002,R051,02-00-01,05-23-11,20:00:00,REGULAR,003119163,000665021
A002,R051,02-00-01,05-24-11,00:00:00,REGULAR,003119315,000665039
A002,R051,02-00-01,05-24-11,04:00:00,REGULAR,003119332,000665040
A002,R051,02-00-01,05-24-11,08:00:00,REGULAR,003119373,000665095
A002,R051,02-00-01,05-24-11,12:00:00,REGULAR,003119524,000665240
A002,R051,02-00-01,05-24-11,16:00:00,REGULAR,003119780,000665285
A002,R051,02-00-01,05-24-11,20:00:00,REGULAR,003120571,000665334              
A002,R051,02-00-01,05-25-11,00:00:00,REGULAR,003120755,000665351
A002,R051,02-00-01,05-25-11,04:00:00,REGULAR,003120766,000665353
A002,R051,02-00-01,05-25-11,08:00:00,REGULAR,003120812,000665396
A002,R051,02-00-01,05-25-11,12:00:00,REGULAR,003120984,000665566
A002,R051,02-00-01,05-25-11,16:00:00,REGULAR,003121217,000665605
A002,R051,02-00-01,05-25-11,20:00:00,REGULAR,003121832,000665661
A002,R051,02-00-01,05-26-11,00:00:00,REGULAR,003122019,000665673
